date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:38	3314/3314	---M--	200	added ('OK')	text/css	etag:%224f66a1c-cf2-5799d1e9241cd%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.style.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.style.less.css	(from http://isfap-sn.com/)
18:41:39	21829/21829	---M--	200	added ('OK')	text/css	etag:%224f66a12-5545-5799d1e92499d%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css	(from http://isfap-sn.com/)
18:41:40	0/0	---M--	200	added ('OK')	text/css	etag:%224f66a1d-0-5799d1e916edd%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.template.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.template.less.f.delayed	(from http://isfap-sn.com/)
18:41:41	9905/9905	---M--	200	added ('OK')	text/css	etag:%224f669e9-26b1-5799d1e9aaa2a%22	http://isfap-sn.com/t3-assets/dev/plugins.system.t3.base-bs3.less.megamenu.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/plugins.system.t3.base-bs3.less.megamenu.less.css	(from http://isfap-sn.com/)
18:41:41	2929/2929	---M--	200	added ('OK')	text/css	etag:%224f66a17-b71-5799d1e9aa25a%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.megamenu.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.megamenu.less.css	(from http://isfap-sn.com/)
18:41:43	18244/18244	---M--	200	added ('OK')	text/css	etag:%224f669ea-4744-5799d1ea329f7%22	http://isfap-sn.com/t3-assets/dev/plugins.system.t3.base-bs3.less.off-canvas.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/plugins.system.t3.base-bs3.less.off-canvas.less.css	(from http://isfap-sn.com/)
18:41:43	1314/1314	---M--	200	added ('OK')	text/css	etag:%224f66a1b-522-5799d1ea329f7%22	http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.off-canvas.less.css	http://isfap-sn.com/Isfap/isfap-sn.com/t3-assets/dev/templates.bt_medical.less.off-canvas.less.css	(from http://isfap-sn.com/)
18:41:46	20766/20766	---M--	200	added ('OK')	text/css	etag:%224f66fbc-511e-5047170553080%22	http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/css/font-awesome.min.css	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/fonts/font-awesome/css/font-awesome.min.css	(from http://isfap-sn.com/)
18:41:46	6681/6681	---M--	200	added ('OK')	text/css	etag:%224f6701b-1a19-50628d4ab2e00%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css	(from http://isfap-sn.com/)
18:41:52	21/21	---M--	200	added ('OK')	application/javascript	etag:%224f65bac-15-5071c7b7fb900%22	http://isfap-sn.com/media/jui/js/jquery-noconflict.js	http://isfap-sn.com/Isfap/isfap-sn.com/media/jui/js/jquery-noconflict.js	(from http://isfap-sn.com/)
18:41:55	4104/4104	---M--	200	added ('OK')	application/javascript	etag:%224f65e27-1008-5071c7b7fb900%22	http://isfap-sn.com/media/system/js/core.js	http://isfap-sn.com/Isfap/isfap-sn.com/media/system/js/core.js	(from http://isfap-sn.com/)
18:41:55	7199/7199	---M--	200	added ('OK')	application/javascript	etag:%224f65bab-1c1f-5071c7b7fb900%22	http://isfap-sn.com/media/jui/js/jquery-migrate.min.js	http://isfap-sn.com/Isfap/isfap-sn.com/media/jui/js/jquery-migrate.min.js	(from http://isfap-sn.com/)
18:41:57	83893/83893	---M--	200	added ('OK')	application/javascript	etag:%224f65e35-147b5-5071c7b7fb900%22	http://isfap-sn.com/media/system/js/mootools-core.js	http://isfap-sn.com/Isfap/isfap-sn.com/media/system/js/mootools-core.js	(from http://isfap-sn.com/)
18:42:05	39163/39163	---M--	200	added ('OK')	application/javascript	etag:%224f67070-98fb-5061594146e00%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/js/default.js	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/js/default.js	(from http://isfap-sn.com/)
18:42:06	20973/20973	---M--	200	added ('OK')	application/javascript	etag:%224f670fc-51ed-5031c05090c80%22	http://isfap-sn.com/templates/bt_medical/js/bootstrap-select.min.js	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/js/bootstrap-select.min.js	(from http://isfap-sn.com/)
18:42:07	95786/95786	---M--	200	added ('OK')	application/javascript	etag:%224f65bae-1762a-5071c7b7fb900%22	http://isfap-sn.com/media/jui/js/jquery.min.js	http://isfap-sn.com/Isfap/isfap-sn.com/media/jui/js/jquery.min.js	(from http://isfap-sn.com/)
18:42:09	106468/106468	---M--	200	added ('OK')	text/css	etag:%224f66f77-19fe4-5072d91c3bc00%22	http://isfap-sn.com/templates/bt_medical/css/bt_style.css	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/css/bt_style.css	(from http://isfap-sn.com/)
18:42:09	9953/9953	---M--	200	added ('OK')	text/css	etag:%224f66f78-26e1-506f4253b8d80%22	http://isfap-sn.com/templates/bt_medical/css/effect.css	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/css/effect.css	(from http://isfap-sn.com/)
18:42:09	5386/5386	---M--	200	added ('OK')	text/css	etag:%224f66f84-150a-506b8f03f9080%22	http://isfap-sn.com/templates/bt_medical/css/reponsive.css	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/css/reponsive.css	(from http://isfap-sn.com/)
18:42:11	252/252	---M--	200	added ('OK')	text/css	etag:%224f66f7e-fc-5071c7fabd680%22	http://isfap-sn.com/templates/bt_medical/css/j3x_css.css	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/css/j3x_css.css	(from http://isfap-sn.com/)
18:42:16	2223/2223	---M--	200	added ('OK')	application/javascript	etag:%224f670fd-8af-50706246ee980%22	http://isfap-sn.com/templates/bt_medical/js/script.js	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/js/script.js	(from http://isfap-sn.com/)
18:42:17	17398/17398	---M--	200	added ('OK')	application/javascript	etag:%224f670fe-43f6-4f25f1f130e00%22	http://isfap-sn.com/templates/bt_medical/js/waypoints.js	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/js/waypoints.js	(from http://isfap-sn.com/)
18:42:18	14697/14697	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:42:18%20GMT	http://isfap-sn.com/index.php/2014-11-04-06-58-8/presentation-de-l-isfap	http://isfap-sn.com/Isfap/isfap-sn.com/index.php/2014-11-04-06-58-8/presentation-de-l-isfap.html	(from http://isfap-sn.com/)
18:42:19	18243/18243	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:42:20%20GMT	http://isfap-sn.com/index.php/2014-11-04-06-58-8/nos-filieres	http://isfap-sn.com/Isfap/isfap-sn.com/index.php/2014-11-04-06-58-8/nos-filieres.html	(from http://isfap-sn.com/)
18:42:20	13489/13489	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:42:21%20GMT	http://isfap-sn.com/index.php/contact	http://isfap-sn.com/Isfap/isfap-sn.com/index.php/contact.html	(from http://isfap-sn.com/)
18:42:27	13840/13840	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:42:24%20GMT	http://isfap-sn.com/index.php/2014-11-04-06-58-8/nos-filieres/31-diplome-d-etat-en-sante	http://isfap-sn.com/Isfap/isfap-sn.com/index.php/2014-11-04-06-58-8/nos-filieres/31-diplome-d-etat-en-sante.html	(from http://isfap-sn.com/)
18:42:31	13695/13695	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:42:28%20GMT	http://isfap-sn.com/index.php/2014-11-04-06-58-8/nos-filieres/32-certificat-de-specialite-cs-certificat-de-competence-professionnelle-cqp	http://isfap-sn.com/Isfap/isfap-sn.com/index.php/2014-11-04-06-58-8/nos-filieres/32-certificat-de-specialite-cs-certificat-de-competence-professionnelle-cqp.html	(from http://isfap-sn.com/)
18:42:38	35232/35232	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:42:31%20GMT	http://isfap-sn.com/index.php/14-nos-partenaires/35-ministere-de-la-sante-et-de-l-action-sociale	http://isfap-sn.com/Isfap/isfap-sn.com/index.php/14-nos-partenaires/35-ministere-de-la-sante-et-de-l-action-sociale.html	(from http://isfap-sn.com/)
18:42:41	1446/1446	---M--	200	added ('OK')	text/css	etag:%224f65de4-5a6-5071c7b613480%22	http://isfap-sn.com/media/system/css/system.css	http://isfap-sn.com/Isfap/isfap-sn.com/media/system/css/system.css	(from http://isfap-sn.com/templates/system/css/system.css)
18:42:41	35271/35271	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:42:33%20GMT	http://isfap-sn.com/index.php/14-nos-partenaires/36-union-nationale-des-acteurs-de-formation-en-securite	http://isfap-sn.com/Isfap/isfap-sn.com/index.php/14-nos-partenaires/36-union-nationale-des-acteurs-de-formation-en-securite.html	(from http://isfap-sn.com/)
18:42:41	35502/35502	---MC-	200	added ('OK')	text/html	date:Sat,%2017%20Nov%202018%2017:42:35%20GMT	http://isfap-sn.com/index.php/14-nos-partenaires/37-le-centre-de-formation-professionnelle-de-forestville-la-reference-en-mines-et-forets-au-quebec	http://isfap-sn.com/Isfap/isfap-sn.com/index.php/14-nos-partenaires/37-le-centre-de-formation-professionnelle-de-forestville-la-reference-en-mines-et-forets-au-quebec.html	(from http://isfap-sn.com/)
18:42:42	155/155	---M--	200	added ('OK')	image/png	etag:%224f670a8-9b-504eb08803980%22	http://isfap-sn.com/templates/bt_medical/images/bg-li.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-li.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:43	1794/1794	---M--	200	added ('OK')	image/png	etag:%224f670a5-702-506904b4dcb00%22	http://isfap-sn.com/templates/bt_medical/images/bg-li-content-left.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-li-content-left.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:44	200/200	---M--	200	added ('OK')	image/png	etag:%224f670b4-c8-504e6acd23600%22	http://isfap-sn.com/templates/bt_medical/images/content_showcase_back.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/content_showcase_back.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:45	192/192	---M--	200	added ('OK')	image/png	etag:%224f670b5-c0-504e6aae9ee00%22	http://isfap-sn.com/templates/bt_medical/images/content_showcase_next.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/content_showcase_next.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:46	270458/270458	---M--	200	added ('OK')	image/png	etag:%224f653aa-4207a-57577e65d8580%22	http://isfap-sn.com/images/image_logo/logo_isfa.png	http://isfap-sn.com/Isfap/isfap-sn.com/images/image_logo/logo_isfa.png	(from http://isfap-sn.com/)
18:42:47	1889/1889	---M--	200	added ('OK')	image/png	etag:%224f670a1-761-504e78b257e80%22	http://isfap-sn.com/templates/bt_medical/images/bg-iconLink1.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-iconLink1.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:47	3731/3731	---M--	200	added ('OK')	image/png	etag:%224f670a2-e93-506004f138800%22	http://isfap-sn.com/templates/bt_medical/images/bg-iconLink2.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-iconLink2.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:47	3855/3855	---M--	200	added ('OK')	image/png	etag:%224f670a3-f0f-506004eb7fa80%22	http://isfap-sn.com/templates/bt_medical/images/bg-iconLink3.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-iconLink3.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:48	2560/2560	---M--	404	error ('Not%20Found')	text/html	etag:%22e02c8e-a00-5564ebf2148ee;57511faaba500%22	http://isfap-sn.com/templates/bt_medical/images/bg-iconLink4.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-iconLink4.34.delayed	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:49	1652/1652	---M--	200	added ('OK')	image/png	etag:%224f6709d-674-504e792a81a00%22	http://isfap-sn.com/templates/bt_medical/images/bg-iconLink-hover-1.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-iconLink-hover-1.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:50	3710/3710	---M--	200	added ('OK')	image/png	etag:%224f6709e-e7e-506005138d900%22	http://isfap-sn.com/templates/bt_medical/images/bg-iconLink-hover-2.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-iconLink-hover-2.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:51	3757/3757	---M--	200	added ('OK')	image/png	etag:%224f6709f-ead-506005081be00%22	http://isfap-sn.com/templates/bt_medical/images/bg-iconLink-hover-3.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-iconLink-hover-3.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:52	3571/3571	---M--	200	added ('OK')	image/png	etag:%224f670a0-df3-506005007ac00%22	http://isfap-sn.com/templates/bt_medical/images/bg-iconLink-hover-4.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/bg-iconLink-hover-4.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:53	3013/3013	---M--	200	added ('OK')	image/png	etag:%224f670c1-bc5-504eaaa535680%22	http://isfap-sn.com/templates/bt_medical/images/login-user-focus.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/login-user-focus.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:54	2975/2975	---M--	200	added ('OK')	image/png	etag:%224f670bf-b9f-504eaa9f7c900%22	http://isfap-sn.com/templates/bt_medical/images/login-pass-focus.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/login-pass-focus.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:55	783/783	---M--	200	added ('OK')	image/png	etag:%224f670b2-30f-504eb2e68d080%22	http://isfap-sn.com/templates/bt_medical/images/close-popup-hover.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/close-popup-hover.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:56	4415/4415	---M--	200	added ('OK')	image/png	etag:%224f67094-113f-5059b57c2b080%22	http://isfap-sn.com/templates/bt_medical/images/aboutUsCustomInfoIcon-1.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/aboutUsCustomInfoIcon-1.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:42:57	3850/3850	---M--	200	added ('OK')	image/png	etag:%224f67095-f0a-5059b5785a780%22	http://isfap-sn.com/templates/bt_medical/images/aboutUsCustomInfoIcon-2.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/aboutUsCustomInfoIcon-2.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:43:00	3557/3557	---M--	200	added ('OK')	image/png	etag:%224f67096-de5-5059b56177180%22	http://isfap-sn.com/templates/bt_medical/images/aboutUsCustomInfoIcon-3.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/aboutUsCustomInfoIcon-3.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:43:00	4099/4099	---M--	200	added ('OK')	image/png	etag:%224f67097-1003-5059b581e3e00%22	http://isfap-sn.com/templates/bt_medical/images/aboutUsCustomInfoIcon-4.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/images/aboutUsCustomInfoIcon-4.png	(from http://isfap-sn.com/t3-assets/dev/templates.bt_medical.less.bt_style.less.css)
18:43:09	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f66fbe-11b01-5047170553080%22	http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont.eot?v=4.1.0	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont862f.eot	(from http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/css/font-awesome.min.css)
18:43:19	253487/253487	---M--	200	added ('OK')	image/svg+xml	etag:%224f66fbf-3de2f-5047170553080%22	http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont.svg?v=4.1.0	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont862f.svg	(from http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/css/font-awesome.min.css)
18:43:21	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%224f66fbe-11b01-5047170553080%22	http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont.eot?	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/css/font-awesome.min.css)
18:43:23	2608/2608	---M--	200	added ('OK')	image/gif	etag:%224f67028-a30-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/loading.gif	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/loading.gif	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
18:43:23	141/141	---M--	200	added ('OK')	image/png	etag:%224f67020-8d-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/bgd-desc.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/bgd-desc.png	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
18:43:23	83760/83760	---M--	200	added ('OK')	font/woff	etag:%224f66fc1-14730-5047170553080%22	http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont.woff?v=4.1.0	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont862f.woff	(from http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/css/font-awesome.min.css)
18:43:27	5857/5857	---M--	200	added ('OK')	image/png	etag:%224f67021-16e1-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/btn_playg_46x46%20hover.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/btn_playg_46x46%20hover.png	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
18:43:29	210/210	---M--	200	added ('OK')	image/png	etag:%224f6701e-d2-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/back.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/back.png	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
18:43:29	141564/141564	---M--	200	added ('OK')	font/ttf	etag:%224f66fc0-228fc-5047170553080%22	http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont.ttf?v=4.1.0	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/fonts/font-awesome/fonts/fontawesome-webfont862f.ttf	(from http://isfap-sn.com/templates/bt_medical/fonts/font-awesome/css/font-awesome.min.css)
18:43:29	214/214	---M--	200	added ('OK')	image/png	etag:%224f6702c-d6-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/next.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/next.png	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
18:43:30	212/212	---M--	200	added ('OK')	image/png	etag:%224f6706e-d4-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/play.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/play.png	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
18:43:32	960/960	---M--	200	added ('OK')	image/png	etag:%224f6706b-3c0-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/pause.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/pause.png	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
18:43:32	4543/4543	---M--	200	added ('OK')	image/png	etag:%224f67022-11bf-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/btn_playg_46x46.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/btn_playg_46x46.png	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
18:43:33	3498/3498	---M--	200	added ('OK')	image/png	etag:%224f67023-daa-504c3bce7e080%22	http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/btn_play_16x16.png	http://isfap-sn.com/Isfap/isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/images/btn_play_16x16.png	(from http://isfap-sn.com/templates/bt_medical/html/mod_bt_backgroundslideshow/css/style.css)
